,,,,,,,,,,,,,,,,80%,,,,,,,,,,0.5," 388,142 "," 387,973 "," 311,323 "," 388,142 ",80%
In-Tok,Out-Tok,RPS,PHR,TTFT,Prefill,L_TTFT,L_P95_TTFT,L_P98_TTFT,ITL,E2E,PPS,GPS,Run,MaxRun,Kvcache,MaxKvcache, ,GPS*ITL,PPS*PREFILL/IL,N,PPS/IL,GPS/OL,RUN/E2E,N/E2E,   ,Tokens load,C(R),C(MaxR),C(N),N(maxT),N%
1000,300,2,0,0.037,0.032,0.595,0.731,0.976,0.007,2.009,2262,634,3.4,8.0,1.02%,2.41%,,4.179,0.073,4.252,2.262,2.112,1.696, 2.12 ,,1150," 385,978 "," 382,131 "," 202,643.17 ", 337.51 ,1.26%
2000,300,2,0,0.061,0.055,0.620,0.770,0.847,0.007,2.237,4845,680,3.6,7.7,2.00%,4.25%,,4.949,0.133,5.081,2.422,2.266,1.601, 2.27 ,,2150," 385,122 "," 387,955 "," 256,662.23 ", 180.53 ,2.81%
3000,300,2,0,0.089,0.081,0.689,0.891,0.991,0.008,2.553,7409,692,4.9,11.0,3.98%,8.96%,,5.705,0.200,5.905,2.470,2.305,1.911, 2.31 ,,3150," 385,648 "," 386,700 "," 207,240.18 ", 123.22 ,4.79%
4000,300,2,0,0.120,0.110,0.745,1.020,1.218,0.009,2.820,9242,647,5.1,10.7,5.51%,11.57%,,5.842,0.253,6.096,2.311,2.157,1.820, 2.16 ,,4150," 386,499 "," 382,694 "," 218,364.02 ", 93.53 ,6.52%
5000,300,2,0,0.154,0.142,0.849,1.343,1.512,0.011,3.365,12072,673,5.9,12.7,7.82%,16.89%,,7.237,0.343,7.580,2.414,2.245,1.746, 2.25 ,,5150," 387,041 "," 386,128 "," 230,758.29 ", 75.37 ,10.06%
6000,300,2,0,0.186,0.173,1.266,2.380,2.786,0.014,4.296,16271,751,8.5,18.0,13.57%,28.60%,,10.345,0.468,10.813,2.712,2.505,1.987, 2.52 ,,6150," 386,973 "," 387,015 "," 232,241.67 ", 63.11 ,17.13%
7000,300,2,0,0.232,0.210,1.397,3.029,3.322,0.016,4.958,18387,703,10.0,19.0,18.47%,35.28%,,11.370,0.553,11.922,2.627,2.344,2.016, 2.40 ,,7150," 386,932 "," 385,084 "," 241,402.58 ", 54.29 ,21.96%
8000,300,2,0,0.290,0.247,1.488,2.385,2.617,0.021,6.542,21110,715,13.1,27.7,27.56%,58.38%,,15.007,0.653,15.660,2.639,2.384,2.004, 2.39 ,,8150," 387,695 "," 386,260 "," 218,470.53 ", 47.62 ,32.88%
9000,300,2,0,0.311,0.271,1.443,2.184,2.384,0.025,7.805,21955,664,14.2,25.0,33.46%,59.26%,,16.593,0.661,17.254,2.439,2.214,1.815, 2.21 ,,9150," 387,356 "," 386,008 "," 266,247.53 ", 42.42 ,40.68%
10000,300,2,0,1.316,0.343,2.680,5.513,6.180,0.043,14.065,25051,671,24.1,36.7,63.18%,96.37%,,29.045,0.860,29.904,2.505,2.236,1.713, 2.13 ,,10150," 387,084 "," 386,167 "," 314,813.50 ", 38.24 ,78.20%
11000,300,2,0,1.716,0.382,3.140,5.795,6.369,0.047,15.094,27246,647,25.0,34.0,71.91%,98.14%,,30.596,0.945,31.541,2.477,2.156,1.655, 2.09 ,,11150," 387,328 "," 386,272 "," 358,192.10 ", 34.81 ,90.61%
12000,300,2,0,3.505,0.555,5.087,11.410,12.340,0.049,18.024,27445,617,24.5,31.7,77.04%,99.20%,,30.357,1.270,31.626,2.287,2.057,1.362, 1.75 ,,12150," 387,150 "," 387,849 "," 387,160.47 ", 31.95 ,99.00%
13000,300,2,0,9.116,0.655,10.955,19.047,19.775,0.055,24.280,28724,574,25.1,29.0,85.30%,98.92%,,31.494,1.448,32.942,2.210,1.913,1.034, 1.36 ,,13150," 387,199 "," 385,497 "," 437,673.75 ", 29.52 ,111.60%
14000,300,2,0,11.644,0.606,12.455,22.944,23.639,0.054,27.866,27879,542,23.9,27.0,87.53%,99.24%,,29.344,1.206,30.551,1.991,1.806,0.859, 1.10 ,,14150," 387,119 "," 384,987 "," 435,434.96 ", 27.43 ,111.38%
15000,300,2,0,13.628,0.668,13.579,27.904,28.690,0.056,29.741,27945,505,22.3,25.3,87.01%,98.26%,,28.283,1.245,29.529,1.863,1.683,0.748, 0.99 ,,15150," 387,555 "," 390,598 "," 455,092.28 ", 25.62 ,115.26%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,100,2,0,0.153,0.140,1.156,2.362,2.776,0.010,1.105,13844,258,2.1,6.3,2.77%,8.27%,,2.488,0.388,2.876,2.769,2.582,1.918, 2.60 ,,5050," 386,675 "," 386,740 "," 175,359.16 ", 76.86 ,3.74%
