IL,OL,RPS,test_name,TTFT,Prefill,L_TTFT,L_P95_TTFT,L_P98_TTFT,ITL,E2E,PPS,GPS,Run,MaxRun,Kvcache,MaxKvcache,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,phi,rho,T_prefill,g_dITL_dRPS,h_drho_dRPS,g_acceleration,cond1_service_degradation,h_acceleration,cond2_prefill_interference,cond3_queueing,is_saturated,sqrt_OL,rho_ratio,regime
20.0,1600.0,5.0,20_2-3K,0.022254025,0.018375817,0.044866735,0.057622969,0.063691049,0.009131676,14.63474284,108.5809524,7775.35,67.38636364,94.5,0.137321038,0.196082234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0016468252925312,2.4370143005511804,0.013122349,0.0,0.0,,False,,False,False,False,40.0,0.06092535751377951,decode-limited
20.0,1800.0,5.0,20_2-3K,0.024316792,0.019914421,0.050831918,0.067892933,0.076781931,0.009992987,17.92556996,103.55,8279.145238,79.20454545,108.0,0.180650963,0.24515128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9965638880324549,2.433385733414844,0.014323805,0.0,0.0,0.0,False,0.0,False,False,False,42.42640687119285,0.05735545177800788,decode-limited
20.0,2000.0,5.0,20_2-3K,0.028186074,0.022975638,0.063980558,0.091210568,0.104120336,0.011629206,23.09906366,105.6761905,9325.916667,104.4318182,132.5,0.262641935,0.341000776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9931487867701372,2.4237315944012,0.016556868,0.0,0.0,0.0,False,0.0,False,False,False,44.721359549995796,0.05419628604295031,decode-limited
20.0,2200.0,5.0,20_2-3K,0.035969241,0.028385443,0.091645145,0.141816181,0.155891957,0.014743029,31.84816292,104.5590909,10186.07955,144.8043478,202.0,0.401603872,0.562451513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9819174669539816,2.4397456587788033,0.021226212,0.0,0.0,0.0,False,0.0,False,False,False,46.9041575982343,0.05201555221771315,decode-limited
20.0,2400.0,5.0,20_2-3K,0.040301472,0.032795691,0.097252177,0.143470508,0.159710243,0.016566399,39.49985196,92.3673913,9925.71087,156.4791667,223.5,0.472100465,0.676027929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9934730927342751,2.4327237319347432,0.023735073,0.0,0.0,0.0,False,0.0,False,False,False,48.98979485566356,0.0496577652366614,decode-limited
20.0,2600.0,5.0,20_2-3K,0.046554313,0.036252974,0.09905782,0.158624876,0.174099736,0.019716842,50.64968724,85.60416667,9866.208333,186.78,291.0,0.609685027,0.947595035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9880207458406137,2.3611444976837572,0.026837471,0.0,0.0,0.0,False,0.0,False,False,False,50.99019513592785,0.04630585333885274,decode-limited
20.0,2800.0,5.0,20_2-3K,0.891373198,0.050928275,0.098920627,0.156405556,0.171325445,0.023542988,65.07071548,74.50527066,9273.338889,204.4808201,331.0,0.717233479,0.999728472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9871109496745758,37.86151519934513,0.86783021,0.0,0.0,0.0,False,0.0,False,False,False,52.91502622129181,0.7155153819825664,scheduler-limited
20.0,3000.0,5.0,20_2-3K,2.334279166,0.062094779,0.659483995,7.014459354,8.764439006,0.027675027,82.6029539,65.72183908,8783.873793,205.0844086,347.0,0.773013923,0.99996121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9949156677125073,84.34604837061224,2.306604139,0.0,0.0,0.0,False,0.0,False,False,False,54.772255750516614,1.5399411109668728,scheduler-limited
20.0,3200.0,5.0,20_2-3K,7.35123282,0.081772316,2.243990878,14.2152326,16.08101017,0.030614784,105.0323115,56.80909091,8140.586364,201.0,374.5,0.803792269,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0721159209795503,240.120355577227,7.320618036,0.0,0.0,0.0,False,0.0,False,False,False,56.568542494923804,4.244768293239556,prefill-limited
20.0,3400.0,5.0,20_2-3K,10.98454038,0.080966418,6.785725501,28.33895015,30.70812018,0.033624084,122.9663364,51.8284127,7854.179841,194.4414414,393.5,0.830024147,0.99996121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0756150124241828,326.68668029737256,10.950916296,0.0,0.0,0.0,False,0.0,False,False,False,58.309518948453004,5.602630345590251,prefill-limited
