 In-Tok , Out-Tok , RPS , test-name , TTFT , Prefill , L_TTFT , L_P95_TTFT , L_P98_TTFT , ITL , E2E , PPS , GPS , Run , MaxRun , Kvcache , MaxKvcache ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,300,2,1-15K_300,0.036813166,0.03151607,0.049095033,0.063904262,0.072164009,0.006621296,2.016169962,2174.816667,603.8444444,4,8.5,0.011850272,0.025019395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,300,2,1-15K_300,0.062462588,0.054630473,0.076301067,0.111241841,0.122858415,0.007490852,2.300878753,4546.616667,634.6944444,4.65,11,0.025965865,0.060861133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,300,2,1-15K_300,0.090961071,0.082817684,0.106331528,0.157679176,0.19386476,0.00810168,2.50206585,6074.711111,555.7111111,4.55,8.5,0.036869666,0.069743988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,300,2,1-15K_300,0.124637087,0.111357021,0.141549439,0.226913404,0.240512648,0.009022243,2.820925993,7931.3,549.55,5.45,9.5,0.05821955,0.101745539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,300,2,1-15K_300,0.174863895,0.147989076,0.193742292,0.35423345,0.40572762,0.011071214,3.463462225,10865.05,594.3777778,6.1,11,0.080896043,0.144763382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,300,2,1-15K_300,0.212433514,0.189139219,0.232862473,0.407242823,0.516730375,0.012433207,3.884498505,12576.57778,567.2222222,7.45,14,0.118211792,0.221993794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,300,2,1-15K_300,0.274495111,0.235993304,0.298311043,0.587977493,0.730203784,0.015848882,5.074650036,15042.45556,595.5388889,8.65,16.5,0.159775019,0.304926299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,300,2,1-15K_300,0.357012879,0.291887432,0.385420988,0.793091965,0.892394528,0.023421438,7.154400065,18614.48333,615.0944444,14.55,28.5,0.305686579,0.598642358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9000,300,2,1-15K_300,0.444136953,0.364648259,0.469832845,1.025178879,1.246310697,0.027628286,8.823003645,18810.70556,568.9555556,14.8,32.5,0.349681924,0.767339022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,300,2,1-15K_300,0.726525671,0.401368251,0.840677032,2.47937423,2.889855647,0.039794129,12.32270471,20836.56111,543.0555556,21.9,33.5,0.574049651,0.880799069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000,300,2,1-15K_300,2.807496514,0.529953513,2.874710241,5.830077088,6.62894166,0.043814523,15.3223806,21315.11333,514.2644444,23.51818182,34,0.67751675,0.983397983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,300,2,1-15K_300,5.947334814,0.817338884,6.152895697,14.47549859,14.80712919,0.055247099,20.6190367,22508.98,474.025,26.90909091,31.5,0.842778052,0.988983708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,300,2,1-15K_300,8.059921446,0.787612566,7.938246319,16.94382566,17.69300247,0.053554148,24.08851852,22710.10273,451.4781818,25.06818182,29,0.851456379,0.989604344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,300,2,1-15K_300,13.11981906,1.044271984,12.07090213,24.46651067,25.2727076,0.053560282,27.99896211,22186.48068,411.4068182,23.48717949,27.5,0.855362684,0.995073701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,300,2,1-15K_300,11.04159246,0.934940584,10.0705309,22.24316555,23.39651304,0.053300864,27.94116615,21756.10871,390.5458333,21.7275641,25,0.849010115,0.982389449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
