IL,OL,RPS,test_name,TTFT,Prefill,L_TTFT,L_P95_TTFT,L_P98_TTFT,ITL,E2E,PPS,GPS,Run,MaxRun,Kvcache,MaxKvcache,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,phi,rho,T_prefill,g_dITL_dRPS,h_drho_dRPS,g_acceleration,cond1_service_degradation,h_acceleration,cond2_prefill_interference,cond3_queueing,is_saturated,sqrt_OL,rho_ratio,regime
5000.0,100.0,2.0,5K_100-2K,0.172925482,0.150383084,0.189971341,0.355519086,0.422158577,0.00968155,1.125546884,11058.26875,204.18125,2.388888889,5.5,0.031234376,0.071761055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.162568890311985,17.861342656909272,0.16324393199999998,0.0,0.0,,False,,False,True,False,10.0,1.7861342656909271,scheduler-limited
5000.0,200.0,2.0,5K_100-2K,0.164161822,0.146034856,0.18312027,0.323592103,0.362150812,0.009958536,2.057406991,10749.97778,401.0555556,4.35,9.5,0.057327386,0.124864236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0329866714344358,16.484533670410993,0.15420328600000002,0.0,0.0,0.0,False,0.0,False,False,False,14.142135623730951,1.165632554304558,scheduler-limited
5000.0,300.0,2.0,5K_100-2K,0.180103543,0.155849175,0.199356971,0.367182642,0.395217574,0.011780866,3.677326454,11221.14444,618.8111111,6.4,14.5,0.08515128,0.193134213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0404799483048757,15.287801677737445,0.168322677,0.0,0.0,0.0,False,0.0,False,False,False,17.320508075688775,0.8826416413959325,scheduler-limited
5000.0,400.0,2.0,5K_100-2K,0.17207564,0.152628464,0.192876948,0.319141901,0.351920075,0.011676885,4.789845319,10128.84444,742.8555556,7.15,18.0,0.095996897,0.241466253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.025497236420501,14.736433560834076,0.160398755,0.0,0.0,0.0,False,0.0,False,False,False,20.0,0.7368216780417038,scheduler-limited
5000.0,500.0,2.0,5K_100-2K,0.177716926,0.152935608,0.198254396,0.361174446,0.399424853,0.012692933,6.358481216,10510.31111,942.4055556,11.65,23.5,0.157734678,0.317261443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.001893134707321,14.001249829334165,0.165023993,0.0,0.0,0.0,False,0.0,False,False,False,22.360679774997898,0.6261549277669705,scheduler-limited
5000.0,600.0,2.0,5K_100-2K,0.167313518,0.151607973,0.186983069,0.29341172,0.357726712,0.01281616,7.627520728,9472.177778,998.05,13.1,25.0,0.178762607,0.342086889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9919144694406646,13.054886799166052,0.154497358,0.0,0.0,0.0,False,0.0,False,False,False,24.49489742783178,0.5329635217958794,scheduler-limited
5000.0,700.0,2.0,5K_100-2K,0.183354509,0.159021605,0.20503954,0.345449358,0.387136095,0.016223875,11.18867822,10865.14444,1315.527778,21.1,37.5,0.291148177,0.518774244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9852039681377864,11.30152377283479,0.167130634,0.0,0.0,0.0,False,0.0,False,False,False,26.457513110645905,0.42715744770007547,decode-limited
5000.0,800.0,2.0,5K_100-2K,0.183525546,0.160677028,0.205575325,0.348539811,0.426037145,0.016070387,12.89120055,10507.92778,1452.561111,22.15,34.5,0.308491078,0.484328937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0027139164414647,11.420107431140272,0.16745515900000002,0.0,0.0,0.0,False,0.0,False,False,False,28.284271247461902,0.40376177032190846,decode-limited
5000.0,900.0,2.0,5K_100-2K,0.193631117,0.169085749,0.216403642,0.366412091,0.449077787,0.017641515,15.81488862,9618.035,1538.117222,27.10454545,42.5,0.380052895,0.596896819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9960651603145573,10.975878035418159,0.175989602,0.0,0.0,0.0,False,0.0,False,False,False,30.0,0.3658626011806053,decode-limited
5000.0,1000.0,2.0,5K_100-2K,0.192570417,0.161949844,0.21455633,0.351967472,0.483327293,0.019379795,19.24403096,9324.375,1729.395,31.22727273,49.5,0.442703999,0.696974399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9929945574759693,9.936659133907249,0.173190622,0.0,0.0,0.0,False,0.0,False,False,False,31.622776601683793,0.3142247519586297,decode-limited
