test_name,IL,OL,data_points,rps_range,max_sustainable_rps,saturation_rps,saturation_type,estimated_ITL_at_80,estimated_Tprefill_at_80,itl_confidence,tprefill_confidence,estimated_kv_total,kv_confidence,regime_distribution,saturated_points,kv_saturated_points,prefill_saturated_points
1-15K_300,1000.0,300.0,15,"(np.float64(2.0), np.float64(2.0))",2.0,2.0,KV cache ceiling,0.05347470093134361,0.9201410261699478,0.9980684797362839,0.9817931626803351,427533.4323614432,0.9139331239381411,"{'scheduler-limited': 8, 'prefill-limited': 5, 'decode-limited': 2}",5,5,0
5K_100-2K,5000.0,100.0,18,"(np.float64(2.0), np.float64(2.0))",2.0,2.0,KV cache ceiling,0.027486943302786157,2.0807371788828246,0.9897399036492579,0.557980520392692,497658.02042666334,0.7583365712315617,"{'scheduler-limited': 8, 'decode-limited': 6, 'prefill-limited': 4}",6,6,0
5K_500,5000.0,500.0,12,"(np.float64(2.0), np.float64(4.4))",3.4,3.8,KV cache ceiling,0.03758071736837525,0.782576563508568,0.9980383752522387,0.6095527046489373,459077.07732275315,0.8790077326860386,"{'scheduler-limited': 6, 'decode-limited': 4, 'prefill-limited': 2}",4,4,0
5K_200,5000.0,200.0,24,"(np.float64(2.0), np.float64(6.8))",5.4,5.6,KV cache ceiling,0.06132469548539362,0.7412795359059352,0.9970600048353941,0.7409851941905943,451622.4893538806,0.8840267796872587,"{'scheduler-limited': 20, 'prefill-limited': 4}",7,7,0
6K_100,6000.0,100.0,23,"(np.float64(2.0), np.float64(6.8))",5.2,5.4,KV cache ceiling,0.10280676370621046,0.6817616152744096,0.9263428944471479,0.8872670884836573,467656.69597268093,0.8311670062755386,"{'scheduler-limited': 17, 'prefill-limited': 6}",8,8,2
200_1K,200.0,1000.0,19,"(np.float64(2.0), np.float64(20.0))",17.0,18.0,KV cache ceiling,0.03350189677822725,1.207087838770297,0.9795718581661336,0.43878974023731354,422442.86910141475,0.8389944376773002,"{'decode-limited': 17, 'scheduler-limited': 1, 'prefill-limited': 1}",3,3,0
4K_100,4000.0,100.0,12,"(np.float64(5.0), np.float64(10.0))",7.0,7.0,KV cache ceiling,0.09488569434951627,0.7909284103590002,0.9916654604827994,0.9588951477341572,451235.05986211693,0.9026387282816438,"{'scheduler-limited': 7, 'prefill-limited': 5}",7,7,1
400_400,400.0,400.0,11,"(np.float64(15.0), np.float64(40.0))",32.5,35.0,KV cache ceiling,0.04394169846456059,0.46338552613381734,0.996491635817803,0.5994871558208813,408519.5953102884,0.9453973393121432,"{'decode-limited': 8, 'prefill-limited': 2, 'scheduler-limited': 1}",3,3,0
20_2-3K,20.0,1600.0,10,"(np.float64(5.0), np.float64(5.0))",5.0,5.0,KV cache ceiling,0.02624427698295338,1.2705130699934313,0.9711746803587794,0.5055849634695802,483411.9584759332,0.7712809696186493,"{'decode-limited': 6, 'scheduler-limited': 2, 'prefill-limited': 2}",4,4,0
5-8K_20,5000.0,20.0,7,"(np.float64(5.0), np.float64(5.0))",5.0,5.0,KV cache ceiling,0.41857280009355646,4.214736335382931,0.9991600932446371,0.8084921327817622,465509.4820133711,0.854139686088926,"{'scheduler-limited': 5, 'prefill-limited': 2}",4,4,0
5-8K_10,5000.0,10.0,7,"(np.float64(5.0), np.float64(5.0))",5.0,5.0,KV cache ceiling,0.8128158342359003,2.081389972310449,0.9942815295335538,0.9882313819185611,467427.35948158166,0.9503137386490482,"{'scheduler-limited': 5, 'prefill-limited': 2}",2,2,0
1K_10,1000.0,10.0,8,"(np.float64(32.0), np.float64(46.0))",38.0,40.0,Prefill-induced,0.7458790176667768,2.5374041971010945,0.999083404337264,0.8992618237856393,458907.70892475965,0.8975177604723398,"{'scheduler-limited': 7, 'prefill-limited': 1}",4,2,2
4K_20,4000.0,20.0,9,"(np.float64(2.0), np.float64(10.0))",8.0,9.0,KV cache ceiling,0.4084424429688039,1.220851733317192,0.9980044474277671,0.976709718118333,470085.78081798705,0.844380047216608,"{'prefill-limited': 5, 'scheduler-limited': 4}",2,2,2
