target_IL,target_OL,target_RPS,experiment_IL,experiment_OL,config_matches,max_sustainable_rps,instances_needed,capacity_per_instance,total_capacity,utilization,test_name,scenario,valid,warning
1000.0,300.0,1.0,1000.0,300.0,True,2.0,1,2.0,2.0,50.0,1-15K_300,vary_RPS,True,
1000.0,300.0,2.0,1000.0,300.0,True,2.0,1,2.0,2.0,100.0,1-15K_300,vary_RPS,True,
1000.0,300.0,3.0,1000.0,300.0,True,2.0,2,2.0,4.0,75.0,1-15K_300,vary_RPS,True,
1000.0,300.0,4.0,1000.0,300.0,True,2.0,2,2.0,4.0,100.0,1-15K_300,vary_RPS,True,
1000.0,300.0,6.0,1000.0,300.0,True,2.0,3,2.0,6.0,100.0,1-15K_300,vary_RPS,True,
1000.0,300.0,10.0,1000.0,300.0,True,2.0,5,2.0,10.0,100.0,1-15K_300,vary_RPS,True,
1000.0,150.0,2.0,1000.0,300.0,False,2.0,1,2.0,2.0,100.0,1-15K_300,vary_OL,False,Different OL - estimate assumes same performance characteristics
1000.0,300.0,2.0,1000.0,300.0,True,2.0,1,2.0,2.0,100.0,1-15K_300,vary_OL,False,Different OL - estimate assumes same performance characteristics
1000.0,450.0,2.0,1000.0,300.0,False,2.0,1,2.0,2.0,100.0,1-15K_300,vary_OL,False,Different OL - estimate assumes same performance characteristics
1000.0,600.0,2.0,1000.0,300.0,False,2.0,1,2.0,2.0,100.0,1-15K_300,vary_OL,False,Different OL - estimate assumes same performance characteristics
500.0,300.0,2.0,1000.0,300.0,False,2.0,1,2.0,2.0,100.0,1-15K_300,vary_IL,False,Different IL - estimate assumes same performance characteristics
1000.0,300.0,2.0,1000.0,300.0,True,2.0,1,2.0,2.0,100.0,1-15K_300,vary_IL,False,Different IL - estimate assumes same performance characteristics
1500.0,300.0,2.0,1000.0,300.0,False,2.0,1,2.0,2.0,100.0,1-15K_300,vary_IL,False,Different IL - estimate assumes same performance characteristics
2000.0,300.0,2.0,1000.0,300.0,False,2.0,1,2.0,2.0,100.0,1-15K_300,vary_IL,False,Different IL - estimate assumes same performance characteristics
5000.0,100.0,1.0,5000.0,100.0,True,2.0,1,2.0,2.0,50.0,5K_100-2K,vary_RPS,True,
5000.0,100.0,2.0,5000.0,100.0,True,2.0,1,2.0,2.0,100.0,5K_100-2K,vary_RPS,True,
5000.0,100.0,3.0,5000.0,100.0,True,2.0,2,2.0,4.0,75.0,5K_100-2K,vary_RPS,True,
5000.0,100.0,4.0,5000.0,100.0,True,2.0,2,2.0,4.0,100.0,5K_100-2K,vary_RPS,True,
5000.0,100.0,6.0,5000.0,100.0,True,2.0,3,2.0,6.0,100.0,5K_100-2K,vary_RPS,True,
5000.0,100.0,10.0,5000.0,100.0,True,2.0,5,2.0,10.0,100.0,5K_100-2K,vary_RPS,True,
5000.0,50.0,2.0,5000.0,100.0,False,2.0,1,2.0,2.0,100.0,5K_100-2K,vary_OL,False,Different OL - estimate assumes same performance characteristics
5000.0,100.0,2.0,5000.0,100.0,True,2.0,1,2.0,2.0,100.0,5K_100-2K,vary_OL,False,Different OL - estimate assumes same performance characteristics
5000.0,150.0,2.0,5000.0,100.0,False,2.0,1,2.0,2.0,100.0,5K_100-2K,vary_OL,False,Different OL - estimate assumes same performance characteristics
5000.0,200.0,2.0,5000.0,100.0,False,2.0,1,2.0,2.0,100.0,5K_100-2K,vary_OL,False,Different OL - estimate assumes same performance characteristics
2500.0,100.0,2.0,5000.0,100.0,False,2.0,1,2.0,2.0,100.0,5K_100-2K,vary_IL,False,Different IL - estimate assumes same performance characteristics
